Subject,Gender,Accuracy,Confusion_Matrix,Classification_Report
2.0,Male,0.9990040733495794,"[[798600, 2151, 49], [22, 430478, 0], [48, 0, 253352]]","{'1.0': {'precision': 0.9999123542890055, 'recall': 0.9972527472527473, 'f1-score': 0.9985807798833364, 'support': 800800.0}, '2.0': {'precision': 0.9950280725517707, 'recall': 0.9999488966318235, 'f1-score': 0.9974824157223312, 'support': 430500.0}, '3.0': {'precision': 0.9998066305973536, 'recall': 0.9998105761641674, 'f1-score': 0.9998086033768678, 'support': 253400.0}, 'accuracy': 0.9984710715969556, 'macro avg': {'precision': 0.9982490191460434, 'recall': 0.9990040733495794, 'f1-score': 0.9986239329941785, 'support': 1484700.0}, 'weighted avg': {'precision': 0.9984780755314488, 'recall': 0.9984710715969556, 'f1-score': 0.9984718586884473, 'support': 1484700.0}}"
3.0,Male,0.9723027083820422,"[[788495, 9455, 50], [26564, 416655, 4698], [10, 354, 262136]]","{'1.0': {'precision': 0.9673966253163843, 'recall': 0.9880889724310777, 'f1-score': 0.9776333188474888, 'support': 798000.0}, '2.0': {'precision': 0.9769992308846702, 'recall': 0.9302058193817158, 'f1-score': 0.9530284852941681, 'support': 447917.0}, '3.0': {'precision': 0.9822094992581046, 'recall': 0.9986133333333334, 'f1-score': 0.990343493569885, 'support': 262500.0}, 'accuracy': 0.9727323412557668, 'macro avg': {'precision': 0.9755351184863864, 'recall': 0.9723027083820422, 'f1-score': 0.973668432570514, 'support': 1508417.0}, 'weighted avg': {'precision': 0.9728258598636158, 'recall': 0.9727323412557668, 'f1-score': 0.9725389037314607, 'support': 1508417.0}}"
4.0,Male,0.9818198005698585,"[[789977, 0, 20624], [5302, 439198, 0], [4471, 0, 255929]]","{'1.0': {'precision': 0.9877799312285089, 'recall': 0.9745571495717376, 'f1-score': 0.9811239909808482, 'support': 810601.0}, '2.0': {'precision': 1.0, 'recall': 0.9880719910011249, 'f1-score': 0.9940002127423622, 'support': 444500.0}, '3.0': {'precision': 0.9254247829529963, 'recall': 0.9828302611367128, 'f1-score': 0.9532640659424568, 'support': 260400.0}, 'accuracy': 0.9799426064383989, 'macro avg': {'precision': 0.9710682380605018, 'recall': 0.9818198005698585, 'f1-score': 0.976129423221889, 'support': 1515501.0}, 'weighted avg': {'precision': 0.9806499721971288, 'recall': 0.9799426064383989, 'f1-score': 0.9801136030583038, 'support': 1515501.0}}"
5.0,Male,0.98149418374707,"[[793617, 44291, 692], [633, 450863, 4], [101, 21, 261678]]","{'1.0': {'precision': 0.9990759752300935, 'recall': 0.9463594085380396, 'f1-score': 0.972003446521053, 'support': 838600.0}, '2.0': {'precision': 0.9105124450951684, 'recall': 0.9985891472868217, 'f1-score': 0.9525190799376766, 'support': 451500.0}, '3.0': {'precision': 0.9973472981316747, 'recall': 0.9995339954163484, 'f1-score': 0.9984394494957781, 'support': 261800.0}, 'accuracy': 0.9705251627037824, 'macro avg': {'precision': 0.9689785728189788, 'recall': 0.98149418374707, 'f1-score': 0.9743206586515026, 'support': 1551900.0}, 'weighted avg': {'precision': 0.9730182385716202, 'recall': 0.9705251627037824, 'f1-score': 0.9707944472726404, 'support': 1551900.0}}"
6.0,Male,0.9819885341376319,"[[819429, 6321, 250], [198, 449288, 5514], [0, 8730, 251670]]","{'1.0': {'precision': 0.9997584266989741, 'recall': 0.9920447941888619, 'f1-score': 0.9958866741977374, 'support': 826000.0}, '2.0': {'precision': 0.9675861816474601, 'recall': 0.9874461538461539, 'f1-score': 0.9774152951196458, 'support': 455000.0}, '3.0': {'precision': 0.9776097951319561, 'recall': 0.9664746543778802, 'f1-score': 0.9720103353584353, 'support': 260400.0}, 'accuracy': 0.9863675879070974, 'macro avg': {'precision': 0.9816514678261301, 'recall': 0.9819885341376319, 'f1-score': 0.9817707682252728, 'support': 1541400.0}, 'weighted avg': {'precision': 0.9865198934444714, 'recall': 0.9863675879070974, 'f1-score': 0.9864005731764023, 'support': 1541400.0}}"
7.0,Male,0.9178866738374847,"[[780072, 257, 49871], [0, 448000, 0], [48424, 0, 211977]]","{'1.0': {'precision': 0.9415519205886329, 'recall': 0.9396193688267888, 'f1-score': 0.9405846520399157, 'support': 830200.0}, '2.0': {'precision': 0.9994266681836536, 'recall': 1.0, 'f1-score': 0.9997132518909196, 'support': 448000.0}, '3.0': {'precision': 0.8095421771409367, 'recall': 0.8140406526856656, 'f1-score': 0.8117851829299817, 'support': 260401.0}, 'accuracy': 0.9359470064038695, 'macro avg': {'precision': 0.9168402553044076, 'recall': 0.9178866738374847, 'f1-score': 0.9173610289536057, 'support': 1538601.0}, 'weighted avg': {'precision': 0.9360614898135624, 'recall': 0.9359470064038695, 'f1-score': 0.9360026338152776, 'support': 1538601.0}}"
8.0,Female,0.835099020358304,"[[741097, 44405, 32798], [29077, 400214, 39709], [37541, 28165, 193293]]","{'1.0': {'precision': 0.9175228886426524, 'recall': 0.9056544054747647, 'f1-score': 0.9115500164512628, 'support': 818300.0}, '2.0': {'precision': 0.8465049578665945, 'recall': 0.8533347547974414, 'f1-score': 0.849906135589477, 'support': 469000.0}, '3.0': {'precision': 0.7272121896162528, 'recall': 0.7463079008027058, 'f1-score': 0.7366363121880949, 'support': 258999.0}, 'accuracy': 0.863095688479395, 'macro avg': {'precision': 0.8304133453751666, 'recall': 0.835099020358304, 'f1-score': 0.8326974880762782, 'support': 1546299.0}, 'weighted avg': {'precision': 0.8641065116863784, 'recall': 0.863095688479395, 'f1-score': 0.8635557704389238, 'support': 1546299.0}}"
9.0,Male,0.965978177252142,"[[825779, 185, 36], [44052, 405618, 1830], [0, 46, 260354]]","{'1.0': {'precision': 0.9493556794365802, 'recall': 0.9997324455205812, 'f1-score': 0.9738930353319405, 'support': 826000.0}, '2.0': {'precision': 0.9994308227936991, 'recall': 0.8983787375415282, 'f1-score': 0.9462144354282795, 'support': 451500.0}, '3.0': {'precision': 0.9928838379986271, 'recall': 0.9998233486943164, 'f1-score': 0.9963415100838086, 'support': 260400.0}, 'accuracy': 0.9699921971519605, 'macro avg': {'precision': 0.9805567800763022, 'recall': 0.965978177252142, 'f1-score': 0.9721496602813429, 'support': 1537900.0}, 'weighted avg': {'precision': 0.9714271143252572, 'recall': 0.9699921971519605, 'f1-score': 0.9695681084634078, 'support': 1537900.0}}"
10.0,Male,0.9969912463942988,"[[819185, 0, 6815], [113, 507387, 0], [132, 12, 260256]]","{'1.0': {'precision': 0.99970101167885, 'recall': 0.9917493946731235, 'f1-score': 0.9957093282606978, 'support': 826000.0}, '2.0': {'precision': 0.9999763499730981, 'recall': 0.9997773399014779, 'f1-score': 0.9998768350348163, 'support': 507500.0}, '3.0': {'precision': 0.9744824409988355, 'recall': 0.9994470046082949, 'f1-score': 0.9868068576281919, 'support': 260400.0}, 'accuracy': 0.9955630842587364, 'macro avg': {'precision': 0.9913866008835944, 'recall': 0.9969912463942988, 'f1-score': 0.9941310069745687, 'support': 1593900.0}, 'weighted avg': {'precision': 0.9956686497861686, 'recall': 0.9955630842587364, 'f1-score': 0.9955818461947968, 'support': 1593900.0}}"
11.0,Female,0.999047025589897,"[[823642, 2026, 332], [2, 475998, 0], [0, 0, 257600]]","{'1.0': {'precision': 0.9999975717664428, 'recall': 0.9971452784503632, 'f1-score': 0.9985693883043857, 'support': 826000.0}, '2.0': {'precision': 0.9957617190768664, 'recall': 0.9999957983193277, 'f1-score': 0.9978742673140298, 'support': 476000.0}, '3.0': {'precision': 0.9987128390428485, 'recall': 1.0, 'f1-score': 0.9993560050588518, 'support': 257600.0}, 'accuracy': 0.9984867914849962, 'macro avg': {'precision': 0.9981573766287192, 'recall': 0.999047025589897, 'f1-score': 0.9985998868924225, 'support': 1559600.0}, 'weighted avg': {'precision': 0.9984925621294614, 'recall': 0.9984867914849962, 'f1-score': 0.9984871588125551, 'support': 1559600.0}}"
