Subject,Gender,Accuracy,Confusion_Matrix,Classification_Report
2.0,Male,0.9361332787763526,"[[778777, 5829, 16194], [47, 430453, 0], [38876, 2679, 211845]]","{'0': {'precision': 0.9523994129876483, 'recall': 0.9724987512487513, 'f1-score': 0.9623441458140254, 'support': 800800.0}, '1': {'precision': 0.9806178681021777, 'recall': 0.999890824622532, 'f1-score': 0.9901605707444037, 'support': 430500.0}, '2': {'precision': 0.9289858313709497, 'recall': 0.8360102604577743, 'f1-score': 0.8800491858781694, 'support': 253400.0}, 'accuracy': 0.9571462248265643, 'macro avg': {'precision': 0.9540010374869253, 'recall': 0.9361332787763526, 'f1-score': 0.9441846341455328, 'support': 1484700.0}, 'weighted avg': {'precision': 0.956585473030171, 'recall': 0.9571462248265643, 'f1-score': 0.956364101417704, 'support': 1484700.0}}"
3.0,Male,0.9336998170746177,"[[745616, 51909, 475], [32828, 397237, 17852], [2756, 2523, 257221]]","{'0': {'precision': 0.9544495647721454, 'recall': 0.9343558897243108, 'f1-score': 0.9442958459979737, 'support': 798000.0}, '1': {'precision': 0.8794869694400103, 'recall': 0.8868540376900185, 'f1-score': 0.8831551402534055, 'support': 447917.0}, '2': {'precision': 0.933488902115058, 'recall': 0.9798895238095238, 'f1-score': 0.9561265909361246, 'support': 262500.0}, 'accuracy': 0.9281743708802009, 'macro avg': {'precision': 0.9224751454424046, 'recall': 0.9336998170746177, 'f1-score': 0.9278591923958346, 'support': 1508417.0}, 'weighted avg': {'precision': 0.928542143441791, 'recall': 0.9281743708802009, 'f1-score': 0.9281992421087805, 'support': 1508417.0}}"
4.0,Male,0.6435330553986883,"[[806406, 0, 4195], [45765, 398735, 0], [250314, 0, 10086]]","{'0': {'precision': 0.7314439652240167, 'recall': 0.9948248275045306, 'f1-score': 0.8430420796555931, 'support': 810601.0}, '1': {'precision': 1.0, 'recall': 0.8970416197975253, 'f1-score': 0.9457268732915498, 'support': 444500.0}, '2': {'precision': 0.7062530635109586, 'recall': 0.03873271889400921, 'f1-score': 0.0734379152544224, 'support': 260400.0}, 'accuracy': 0.8018648618509655, 'macro avg': {'precision': 0.8125656762449918, 'recall': 0.6435330553986883, 'f1-score': 0.6207356227338551, 'support': 1515501.0}, 'weighted avg': {'precision': 0.8058836697519874, 'recall': 0.8018648618509655, 'f1-score': 0.7409230222357153, 'support': 1515501.0}}"
5.0,Male,0.9802860260540937,"[[823586, 12799, 2215], [2194, 449306, 0], [9429, 95, 252276]]","{'0': {'precision': 0.986083722756819, 'recall': 0.9820963510612927, 'f1-score': 0.9840859978647504, 'support': 838600.0}, '1': {'precision': 0.9721029857204674, 'recall': 0.995140642303433, 'f1-score': 0.9834869213089635, 'support': 451500.0}, '2': {'precision': 0.9912963523268014, 'recall': 0.9636210847975554, 'f1-score': 0.9772628227104482, 'support': 261800.0}, 'accuracy': 0.9827746633159353, 'macro avg': {'precision': 0.9831610202680293, 'recall': 0.9802860260540937, 'f1-score': 0.9816119139613874, 'support': 1551900.0}, 'weighted avg': {'precision': 0.9828956073173633, 'recall': 0.9827746633159353, 'f1-score': 0.9827606609742715, 'support': 1551900.0}}"
6.0,Male,0.9112157306213621,"[[739545, 85046, 1409], [2756, 417501, 34743], [0, 20642, 239758]]","{'0': {'precision': 0.9962872204132824, 'recall': 0.8953329297820823, 'f1-score': 0.9431161492596128, 'support': 826000.0}, '1': {'precision': 0.7979926948005406, 'recall': 0.9175846153846153, 'f1-score': 0.8536203126389685, 'support': 455000.0}, '2': {'precision': 0.8689717661556304, 'recall': 0.9207296466973887, 'f1-score': 0.8941022915850907, 'support': 260400.0}, 'accuracy': 0.9061917737122097, 'macro avg': {'precision': 0.8877505604564844, 'recall': 0.9112157306213621, 'f1-score': 0.8969462511612241, 'support': 1541400.0}, 'weighted avg': {'precision': 0.9162450811616345, 'recall': 0.9061917737122097, 'f1-score': 0.908417943601874, 'support': 1541400.0}}"
7.0,Male,0.9128136683874186,"[[749389, 1, 80810], [0, 448000, 0], [42763, 0, 217638]]","{'0': {'precision': 0.9460166735676991, 'recall': 0.9026608046253914, 'f1-score': 0.9238303401481306, 'support': 830200.0}, '1': {'precision': 0.9999977678621254, 'recall': 1.0, 'f1-score': 0.9999988839298171, 'support': 448000.0}, '2': {'precision': 0.7292325631265748, 'recall': 0.8357802005368643, 'f1-score': 0.7788794468631062, 'support': 260401.0}, 'accuracy': 0.919684180629026, 'macro avg': {'precision': 0.8917490015187998, 'recall': 0.9128136683874186, 'f1-score': 0.9009028903136848, 'support': 1538601.0}, 'weighted avg': {'precision': 0.925044849879117, 'recall': 0.919684180629026, 'f1-score': 0.9214763510709636, 'support': 1538601.0}}"
8.0,Female,0.6930120343511624,"[[579789, 152656, 85855], [68706, 315785, 84509], [52211, 26216, 180572]]","{'0': {'precision': 0.8274354722237286, 'recall': 0.7085286569717707, 'f1-score': 0.7633794731554714, 'support': 818300.0}, '1': {'precision': 0.6383918553664458, 'recall': 0.673315565031983, 'f1-score': 0.6553887949758057, 'support': 469000.0}, '2': {'precision': 0.5145439624318964, 'recall': 0.6971918810497337, 'f1-score': 0.5921024371449417, 'support': 258999.0}, 'accuracy': 0.6959494897170599, 'macro avg': {'precision': 0.6601237633406903, 'recall': 0.6930120343511624, 'f1-score': 0.670290235092073, 'support': 1546299.0}, 'weighted avg': {'precision': 0.7176895275838884, 'recall': 0.6959494897170599, 'f1-score': 0.7019371459497016, 'support': 1546299.0}}"
9.0,Male,0.8927846930457393,"[[774981, 12, 51007], [98960, 336838, 15702], [140, 1402, 258858]]","{'0': {'precision': 0.8866237797183556, 'recall': 0.9382336561743342, 'f1-score': 0.9116989131694313, 'support': 826000.0}, '1': {'precision': 0.9958196847320933, 'recall': 0.7460420819490587, 'f1-score': 0.853022214568624, 'support': 451500.0}, '2': {'precision': 0.7950990118777395, 'recall': 0.9940783410138249, 'f1-score': 0.8835241575037502, 'support': 260400.0}, 'accuracy': 0.8912653618570778, 'macro avg': {'precision': 0.8925141587760628, 'recall': 0.8927846930457393, 'f1-score': 0.8827484284139352, 'support': 1537900.0}, 'weighted avg': {'precision': 0.9031846104407733, 'recall': 0.8912653618570778, 'f1-score': 0.8897018809868397, 'support': 1537900.0}}"
10.0,Male,0.7933456037452907,"[[741935, 0, 84065], [5, 506312, 1183], [134327, 0, 126073]]","{'0': {'precision': 0.846699693130062, 'recall': 0.898226392251816, 'f1-score': 0.8717022652733091, 'support': 826000.0}, '1': {'precision': 1.0, 'recall': 0.9976591133004926, 'f1-score': 0.998828185107298, 'support': 507500.0}, '2': {'precision': 0.5965947539525177, 'recall': 0.48415130568356374, 'f1-score': 0.5345235849156599, 'support': 260400.0}, 'accuracy': 0.862237279628584, 'macro avg': {'precision': 0.8144314823608599, 'recall': 0.7933456037452907, 'f1-score': 0.801684678432089, 'support': 1593900.0}, 'weighted avg': {'precision': 0.8546503673095344, 'recall': 0.862237279628584, 'f1-score': 0.8570934917935534, 'support': 1593900.0}}"
11.0,Female,0.9896721143505302,"[[800730, 24492, 778], [38, 475816, 146], [0, 1, 257599]]","{'0': {'precision': 0.999952545556266, 'recall': 0.969406779661017, 'f1-score': 0.9844427724174559, 'support': 826000.0}, '1': {'precision': 0.9510442546506259, 'recall': 0.9996134453781512, 'f1-score': 0.9747241908043458, 'support': 476000.0}, '2': {'precision': 0.9964258499243781, 'recall': 0.9999961180124224, 'f1-score': 0.9982077915535638, 'support': 257600.0}, 'accuracy': 0.9836785073095665, 'macro avg': {'precision': 0.9824742167104233, 'recall': 0.9896721143505302, 'f1-score': 0.9857915849251219, 'support': 1559600.0}, 'weighted avg': {'precision': 0.9844429127876978, 'recall': 0.9836785073095665, 'f1-score': 0.983750174367713, 'support': 1559600.0}}"
13.0,Male,0.8973101697637417,"[[822823, 0, 3178], [138040, 326695, 65], [337, 1560, 265503]]","{'0': {'precision': 0.8560372451102788, 'recall': 0.9961525470308147, 'f1-score': 0.9207951427959138, 'support': 826001.0}, '1': {'precision': 0.9952475971424655, 'recall': 0.7028722030981067, 'f1-score': 0.8238898941435335, 'support': 464800.0}, '2': {'precision': 0.9879328436516265, 'recall': 0.9929057591623036, 'f1-score': 0.9904130591294162, 'support': 267400.0}, 'accuracy': 0.908111982985507, 'macro avg': {'precision': 0.9464058953014569, 'recall': 0.8973101697637417, 'f1-score': 0.9116993653562879, 'support': 1558201.0}, 'weighted avg': {'precision': 0.9201970387919134, 'recall': 0.908111982985507, 'f1-score': 0.9038360157346119, 'support': 1558201.0}}"
